date,prices,market_caps,total_volumes
2019-05-23,83.71135439663568,1424639935.1511428,604313244.8339175
2019-05-24,84.84244673733575,1444745783.6267068,440614137.00457597
2019-05-25,85.35297563937434,1454235897.901972,284719703.82536525
2019-05-26,86.51828996982346,1469668713.3017232,342042134.8085156
2019-05-27,91.83875450607142,1548811523.712054,85742199.25437917
2019-05-28,97.95294407087563,1666471713.5466678,263997495.50271976
2019-05-29,93.11688721116548,1582106099.0850914,391126790.6137525
2019-05-30,92.81686022128527,1580052496.8673189,226206627.35036767
2019-05-31,94.11112842561033,1601157732.513235,378675732.3329295
2019-06-01,92.93051427902374,1581849597.6119258,422204927.05299383
2019-06-02,94.68783786340379,1615303246.4112444,201800547.19511706
2019-06-03,89.43750284939624,1522270294.5550582,113792444.46057084
2019-06-04,83.20562338334345,1414286163.2537816,89053973.32187083
2019-06-05,85.14269049532064,1449760844.8042724,86565454.00364627
2019-06-06,87.76944797416657,1496802626.5976436,348584837.7524572
2019-06-07,88.24856619183791,1507203305.2653294,101133825.42258818
2019-06-08,87.59517286729411,1492826059.1088889,153145298.40551975
2019-06-09,83.62689850680003,1424349092.5212178,199617013.7344414
2019-06-10,86.80857490733361,1491756312.0745842,205599922.6773941
2019-06-11,86.65414841642705,1476259279.064233,210398260.60075188
2019-06-12,90.51104017684574,1528564276.2421172,614414900.9533334
2019-06-13,90.07346558165476,1533770385.2224822,431683884.9009613
2019-06-14,90.95349257985345,1554043949.4584217,386619966.0318472
2019-06-15,94.54934438931524,1604386537.4948483,412588964.34202665
2019-06-16,95.55886326303785,1630984045.0664237,444981176.82174265
2019-06-17,97.6288554431663,1665178655.369479,1948294918.2459867
2019-06-18,97.33623856590012,1658967180.44616,476787337.1031472
2019-06-19,100.8592834495421,1719204560.9404962,480805877.0553787
2019-06-20,105.79053567100968,1805294497.3665805,488102102.7004116
2019-06-21,109.16527777690705,1863758021.0138059,161831301.44701782
2019-06-22,115.01962125388197,1960191049.801051,182086842.32759565
2019-06-23,115.5271929141789,1967132400.6909895,158524275.15113986
2019-06-24,117.60386009803956,2004728489.3552501,169072723.15106058
2019-06-25,112.90949762122331,1925250523.9802532,326127052.0474365
2019-06-26,104.26858040933263,1782756491.7136662,354528537.64143956
2019-06-27,95.14246871960081,1621330942.8477802,391911418.71517825
2019-06-28,101.23046471549196,1725287223.7480881,175149257.80362177
2019-06-29,100.15108959559873,1709841662.9184732,157505885.57334155
2019-06-30,88.27925193510775,1502405592.9826274,140245568.53033176
2019-07-01,88.91605117705846,1516872140.7305908,155822457.6927803
2019-07-02,86.19331579540274,1467137068.7723355,125174047.84049655
2019-07-03,90.37202444884089,1563349460.8963284,168237146.94106093
2019-07-04,87.95784796223325,1501925078.945438,153386900.37639186
2019-07-05,90.04487107598672,1540944296.794864,197447416.26961452
2019-07-06,94.57783581711303,1617935319.7834322,222839339.6885189
2019-07-07,106.89110740415298,1821988307.0448353,272672209.9059778
2019-07-08,100.90647442902892,1722349071.67138,502977062.00024635
2019-07-09,98.90602063056319,1688426310.3255186,359814720.6705819
2019-07-10,95.18398532571767,1626954890.279546,238892178.04441205
2019-07-11,89.345283026319,1524995529.226249,218008939.005794
2019-07-12,98.50753523845817,1683973860.3505569,118675344.17781997
